date,item_no,location_code,qty
2026-03-23,33116,S0002,5.0
2026-03-23,33116,S0005,3.0
2026-03-23,33116,S0005,1.0
2026-03-23,33116,S0010,7.0
2026-03-23,33120,S0001,3.0
2026-03-23,33120,S0002,1.0
2026-03-23,33130,S0001,4.0
2026-03-23,33130,S0002,4.0
2026-03-23,33130,S0005,2.0
2026-03-23,33150,S0001,1.0
2026-03-23,33150,S0002,3.0
2026-03-23,33150,S0005,1.0
2026-03-23,33150,S0010,2.0
2026-03-23,33160,S0001,2.0
2026-03-23,33160,S0002,1.0
2026-03-23,33160,S0005,1.0
2026-03-23,33170,S0001,3.0
2026-03-23,33170,S0002,2.0
2026-03-23,33170,S0005,1.0
2026-03-23,33170,S0005,2.0
2026-03-23,33170,S0010,2.0
2026-03-23,33200,S0001,5.0
2026-03-23,33200,S0002,7.0
2026-03-23,33200,S0005,2.0
2026-03-23,33200,S0010,4.0
2026-03-23,33250,S0001,4.0
2026-03-23,33250,S0002,2.0
2026-03-23,33250,S0010,1.0
2026-03-23,33310,S0001,18.0
2026-03-23,33310,S0002,13.0
2026-03-23,33310,S0005,5.0
2026-03-23,33310,S0010,6.0
2026-03-23,33323,S0001,8.0
2026-03-23,33323,S0002,11.0
2026-03-23,33323,S0005,4.0
2026-03-23,33323,S0010,6.0
2026-03-23,33341,S0001,5.0
2026-03-23,33341,S0002,5.0
2026-03-23,33341,S0005,2.0
2026-03-23,33341,S0010,2.0
2026-03-24,10000,S0001,15.0
2026-03-24,10000,S0002,5.0
2026-03-24,10000,S0002,8.0
2026-03-24,10000,S0013,1.0
2026-03-24,10045,S0001,8.0
2026-03-24,10070,S0001,4.0
2026-03-24,10070,S0002,3.0
2026-03-24,10100,S0001,3.0
2026-03-24,10100,S0002,1.0
2026-03-24,10100,S0013,3.0
2026-03-24,18200,S0001,3.0
2026-03-24,18200,S0002,3.0
2026-03-24,18200,S0013,1.0
2026-03-24,18200,W0003,6.0
2026-03-24,18230,S0001,2.0
2026-03-24,18230,S0002,1.0
2026-03-24,18230,W0003,6.0
2026-03-24,30091,S0002,1.0
2026-03-24,30091,W0003,2.0
2026-03-24,33100,S0001,11.0
2026-03-24,33100,S0002,4.0
2026-03-24,33100,S0005,3.0
2026-03-24,33100,S0010,5.0
2026-03-24,33110,S0001,3.0
2026-03-24,33110,S0001,10.0
2026-03-24,33110,S0002,7.0
2026-03-24,33110,S0005,4.0
2026-03-24,33110,S0010,12.0
2026-03-24,33116,S0001,9.0
2026-03-24,33116,S0002,4.0
2026-03-24,33116,S0005,4.0
2026-03-24,33116,S0010,6.0
2026-03-24,33120,S0001,1.0
2026-03-24,33120,S0002,2.0
2026-03-24,33130,S0001,1.0
2026-03-24,33130,S0002,2.0
2026-03-24,33130,S0005,1.0
2026-03-24,33130,S0010,2.0
2026-03-24,33150,S0001,1.0
2026-03-24,33150,S0002,1.0
2026-03-24,33150,S0005,1.0
2026-03-24,33150,S0010,2.0
2026-03-24,33160,S0001,1.0
2026-03-24,33160,S0002,2.0
2026-03-24,33160,S0005,2.0
2026-03-24,33170,S0001,5.0
2026-03-24,33170,S0002,5.0
2026-03-24,33170,S0005,2.0
2026-03-24,33170,S0010,2.0
2026-03-24,33200,S0001,5.0
2026-03-24,33200,S0002,4.0
2026-03-24,33200,S0005,3.0
2026-03-24,33200,S0010,2.0
2026-03-24,33250,S0001,6.0
2026-03-24,33250,S0002,6.0
2026-03-24,33250,S0005,2.0
2026-03-24,33250,S0010,3.0
2026-03-24,33310,S0001,12.0
2026-03-24,33310,S0002,8.0
2026-03-24,33310,S0005,5.0
2026-03-24,33310,S0010,7.0
2026-03-24,33310,W0003,43.0
2026-03-24,33323,S0001,10.0
2026-03-24,33323,S0002,8.0
2026-03-24,33323,S0005,2.0
2026-03-24,33323,S0010,3.0
2026-03-24,33323,W0003,28.0
2026-03-24,33341,S0001,4.0
2026-03-24,33341,S0002,3.0
2026-03-24,33341,S0005,2.0
2026-03-24,33341,W0003,12.0
2026-03-25,10000,S0001,8.0
2026-03-25,10000,S0001,3.0
2026-03-25,10000,S0002,9.0
2026-03-25,10000,S0013,7.0
2026-03-25,10045,S0001,7.0
2026-03-25,10070,S0001,9.0
2026-03-25,10070,S0002,5.0
2026-03-25,10100,S0001,2.0
2026-03-25,18200,S0001,1.0
2026-03-25,18200,S0013,1.0
2026-03-25,18230,S0001,3.0
2026-03-25,18230,S0013,1.0
2026-03-25,30091,S0001,1.0
2026-03-25,33100,S0001,12.0
2026-03-25,33100,S0002,7.0
2026-03-25,33100,S0005,6.0
2026-03-25,33100,S0010,2.0
2026-03-25,33100,S0010,3.0
2026-03-25,33110,S0001,9.0
2026-03-25,33110,S0002,4.0
2026-03-25,33110,S0002,6.0
2026-03-25,33110,S0005,1.0
2026-03-25,33110,S0010,4.0
2026-03-25,33116,S0001,7.0
2026-03-25,33116,S0001,1.0
2026-03-25,33116,S0002,3.0
2026-03-25,33116,S0005,1.0
2026-03-25,33116,S0005,3.0
2026-03-25,33116,S0010,6.0
2026-03-25,33120,S0001,3.0
2026-03-25,33120,S0002,1.0
2026-03-25,33130,S0001,2.0
2026-03-25,33130,S0002,1.0
2026-03-25,33130,S0005,1.0
2026-03-25,33130,S0010,2.0
2026-03-25,33130,S0010,2.0
2026-03-25,33150,S0001,3.0
2026-03-25,33150,S0002,2.0
2026-03-25,33150,S0005,1.0
2026-03-25,33150,S0010,1.0
2026-03-25,33160,S0001,2.0
2026-03-25,33160,S0002,2.0
2026-03-25,33160,S0010,4.0
2026-03-25,33170,S0001,2.0
2026-03-25,33170,S0002,3.0
2026-03-25,33170,S0002,1.0
2026-03-25,33170,S0005,4.0
2026-03-25,33170,S0010,5.0
2026-03-25,33200,S0001,5.0
2026-03-25,33200,S0002,4.0
2026-03-25,33200,S0005,5.0
2026-03-25,33200,S0010,5.0
2026-03-25,33250,S0001,4.0
2026-03-25,33250,S0002,3.0
2026-03-25,33250,S0005,3.0
2026-03-25,33250,S0010,4.0
2026-03-25,33310,S0001,10.0
2026-03-25,33310,S0002,9.0
2026-03-25,33310,S0005,5.0
2026-03-25,33310,S0010,14.0
2026-03-25,33323,S0001,9.0
2026-03-25,33323,S0002,8.0
2026-03-25,33323,S0005,5.0
2026-03-25,33323,S0010,8.0
2026-03-25,33341,S0001,3.0
2026-03-25,33341,S0002,5.0
2026-03-25,33341,S0010,2.0
2026-03-26,10000,S0001,23.0
2026-03-26,10000,S0002,14.0
2026-03-26,10000,S0013,7.0
2026-03-26,10045,S0001,9.0
2026-03-26,10045,S0002,6.0
2026-03-26,10070,S0001,11.0
2026-03-26,10070,S0002,5.0
2026-03-26,10100,S0001,2.0
2026-03-26,10100,S0002,2.0
2026-03-26,18200,S0001,2.0
2026-03-26,18200,S0002,2.0
2026-03-26,18200,W0003,5.0
2026-03-26,18230,S0001,3.0
2026-03-26,18230,S0002,2.0
2026-03-26,18230,S0013,1.0
2026-03-26,18230,W0003,9.0
2026-03-26,30091,S0001,1.0
2026-03-26,30091,S0005,1.0
2026-03-26,30091,S0010,1.0
2026-03-26,30091,W0003,2.0
2026-03-26,30091,W0003,1.0
2026-03-26,33100,S0001,14.0
2026-03-26,33100,S0002,8.0
2026-03-26,33100,S0005,7.0
2026-03-26,33100,S0010,6.0
2026-03-26,33110,S0001,14.0
2026-03-26,33110,S0002,1.0
2026-03-26,33110,S0002,7.0
2026-03-26,33110,S0005,5.0
2026-03-26,33110,S0005,1.0
2026-03-26,33110,S0010,4.0
2026-03-26,33116,S0001,8.0
2026-03-26,33116,S0002,1.0
2026-03-26,33116,S0002,5.0
2026-03-26,33116,S0005,2.0
2026-03-26,33116,S0010,4.0
2026-03-26,33120,S0002,1.0
2026-03-26,33120,S0010,3.0
2026-03-26,33130,S0002,1.0
2026-03-26,33130,S0005,1.0
2026-03-26,33130,S0005,1.0
2026-03-26,33150,S0001,1.0
2026-03-26,33150,S0002,2.0
2026-03-26,33160,S0001,1.0
2026-03-26,33160,S0002,3.0
2026-03-26,33170,S0001,3.0
2026-03-26,33170,S0001,3.0
2026-03-26,33170,S0002,4.0
2026-03-26,33170,S0005,1.0
2026-03-26,33170,S0010,2.0
2026-03-26,33200,S0001,6.0
2026-03-26,33200,S0002,5.0
2026-03-26,33200,S0005,2.0
2026-03-26,33200,S0010,5.0
2026-03-26,33250,S0001,8.0
2026-03-26,33250,S0002,4.0
2026-03-26,33250,S0005,1.0
2026-03-26,33250,S0010,6.0
2026-03-26,33310,S0001,11.0
2026-03-26,33310,S0002,11.0
2026-03-26,33310,S0005,3.0
2026-03-26,33310,S0010,6.0
2026-03-26,33310,W0003,27.0
2026-03-26,33323,S0001,8.0
2026-03-26,33323,S0002,7.0
2026-03-26,33323,S0005,1.0
2026-03-26,33323,S0005,6.0
2026-03-26,33323,S0010,3.0
2026-03-26,33323,W0003,31.0
2026-03-26,33341,S0001,1.0
2026-03-26,33341,S0002,4.0
2026-03-26,33341,S0005,1.0
2026-03-26,33341,S0010,2.0
2026-03-26,33341,W0003,13.0
2026-03-27,10000,S0001,2.0
2026-03-27,10000,S0001,13.0
2026-03-27,10000,S0002,6.0
2026-03-27,10000,S0002,2.0
2026-03-27,10000,S0013,4.0
2026-03-27,10045,S0001,5.0
2026-03-27,10045,S0002,6.0
2026-03-27,10070,S0001,8.0
2026-03-27,10070,S0002,3.0
2026-03-27,10100,S0001,2.0
2026-03-27,10100,S0002,3.0
2026-03-27,10100,S0013,1.0
2026-03-27,18200,S0001,4.0
2026-03-27,18200,S0002,2.0
2026-03-27,18200,S0013,2.0
2026-03-27,18230,S0001,4.0
2026-03-27,18230,S0002,1.0
2026-03-27,18230,S0013,2.0
2026-03-27,30091,S0002,1.0
2026-03-27,30091,S0010,1.0
2026-03-27,33110,S0010,7.0
2026-03-27,33116,S0001,5.0
2026-03-27,33116,S0002,5.0
2026-03-27,33116,S0002,3.0
2026-03-27,33116,S0005,2.0
2026-03-27,33116,S0010,6.0
2026-03-27,33120,S0001,3.0
2026-03-27,33120,S0010,1.0
2026-03-27,33130,S0001,2.0
2026-03-27,33130,S0002,1.0
2026-03-27,33130,S0002,1.0
2026-03-27,33130,S0005,1.0
2026-03-27,33130,S0010,2.0
2026-03-27,33150,S0001,2.0
2026-03-27,33150,S0002,1.0
2026-03-27,33150,S0005,1.0
2026-03-27,33150,S0010,1.0
2026-03-27,33160,S0001,1.0
2026-03-27,33160,S0002,1.0
2026-03-27,33160,S0005,1.0
2026-03-27,33160,S0010,2.0
2026-03-27,33170,S0001,6.0
2026-03-27,33170,S0002,2.0
2026-03-27,33170,S0002,1.0
2026-03-27,33170,S0005,2.0
2026-03-27,33170,S0010,5.0
2026-03-27,33200,S0001,6.0
2026-03-27,33200,S0002,5.0
2026-03-27,33200,S0005,2.0
2026-03-27,33200,S0010,3.0
2026-03-27,33250,S0001,4.0
2026-03-27,33250,S0002,3.0
2026-03-27,33250,S0002,1.0
2026-03-27,33250,S0005,2.0
2026-03-27,33250,S0010,5.0
2026-03-27,33310,S0001,11.0
2026-03-27,33310,S0002,9.0
2026-03-27,33310,S0005,6.0
2026-03-27,33310,S0010,12.0
2026-03-27,33323,S0001,16.0
2026-03-27,33323,S0002,7.0
2026-03-27,33323,S0005,1.0
2026-03-27,33323,S0010,6.0
2026-03-27,33341,S0001,8.0
2026-03-27,33341,S0002,3.0
2026-03-27,33341,S0005,3.0
2026-03-27,33341,S0010,3.0
2026-03-28,10000,S0001,11.0
2026-03-28,10000,S0002,4.0
2026-03-28,10000,S0002,6.0
2026-03-28,10000,S0013,4.0
2026-03-28,10045,S0001,5.0
2026-03-28,10045,S0002,7.0
2026-03-28,10045,S0002,5.0
2026-03-28,10070,S0001,8.0
2026-03-28,10070,S0001,1.0
2026-03-28,10070,S0002,8.0
2026-03-28,10100,S0001,3.0
2026-03-28,10100,S0002,1.0
2026-03-28,10100,S0002,2.0
2026-03-28,10100,S0013,2.0
2026-03-28,18200,S0001,4.0
2026-03-28,18200,S0002,5.0
2026-03-28,18200,S0013,1.0
2026-03-28,18200,W0003,11.0
2026-03-28,18230,S0001,3.0
2026-03-28,18230,S0002,2.0
2026-03-28,18230,S0013,2.0
2026-03-28,18230,W0003,5.0
2026-03-28,30091,S0001,1.0
2026-03-28,30091,S0002,1.0
2026-03-28,30091,W0003,3.0
2026-03-28,33100,S0001,12.0
2026-03-28,33100,S0002,8.0
2026-03-28,33100,S0005,4.0
2026-03-28,33100,S0010,7.0
2026-03-28,33110,S0001,13.0
2026-03-28,33110,S0002,11.0
2026-03-28,33110,S0002,2.0
2026-03-28,33110,S0005,5.0
2026-03-28,33110,S0010,14.0
2026-03-28,33116,S0001,4.0
2026-03-28,33116,S0001,5.0
2026-03-28,33116,S0002,2.0
2026-03-28,33116,S0002,2.0
2026-03-28,33116,S0005,2.0
2026-03-28,33116,S0010,6.0
2026-03-28,33120,S0001,4.0
2026-03-28,33120,S0002,1.0
2026-03-28,33120,S0005,2.0
2026-03-28,33120,S0010,1.0
2026-03-28,33130,S0001,2.0
2026-03-28,33130,S0001,2.0
2026-03-28,33130,S0002,1.0
2026-03-28,33130,S0010,1.0
2026-03-28,33150,S0001,1.0
2026-03-28,33150,S0002,2.0
2026-03-28,33150,S0005,2.0
2026-03-28,33160,S0001,2.0
2026-03-28,33160,S0002,3.0
2026-03-28,33160,S0005,1.0
2026-03-28,33160,S0010,2.0
2026-03-28,33170,S0001,4.0
2026-03-28,33170,S0002,3.0
2026-03-28,33170,S0002,2.0
2026-03-28,33170,S0005,1.0
2026-03-28,33170,S0005,1.0
2026-03-28,33170,S0010,1.0
2026-03-28,33200,S0001,12.0
2026-03-28,33200,S0002,6.0
2026-03-28,33200,S0005,5.0
2026-03-28,33200,S0010,5.0
2026-03-28,33250,S0001,8.0
2026-03-28,33250,S0002,6.0
2026-03-28,33250,S0005,4.0
2026-03-28,33250,S0010,6.0
2026-03-28,33310,S0001,20.0
2026-03-28,33310,S0002,13.0
2026-03-28,33310,S0005,3.0
2026-03-28,33310,S0010,9.0
2026-03-28,33310,W0003,42.0
2026-03-28,33323,S0001,8.0
2026-03-28,33323,S0002,5.0
2026-03-28,33323,S0005,6.0
2026-03-28,33323,S0010,5.0
2026-03-28,33323,W0003,51.0
2026-03-28,33341,S0001,6.0
2026-03-28,33341,S0002,1.0
2026-03-28,33341,S0005,4.0
2026-03-28,33341,S0010,4.0
2026-03-28,33341,W0003,9.0
2026-03-29,10000,S0001,13.0
2026-03-29,10000,S0002,16.0
2026-03-29,10000,S0013,2.0
2026-03-29,10000,S0013,2.0
2026-03-29,10045,S0001,3.0
2026-03-29,10045,S0001,8.0
2026-03-29,10045,S0002,6.0
2026-03-29,10070,S0001,5.0
2026-03-29,10070,S0002,7.0
2026-03-29,10070,S0013,1.0
2026-03-29,10100,S0001,4.0
2026-03-29,10100,S0002,2.0
2026-03-29,10100,S0013,2.0
2026-03-29,18200,S0001,5.0
2026-03-29,18200,S0002,3.0
2026-03-29,18200,S0002,5.0
2026-03-29,18230,S0001,2.0
2026-03-29,18230,S0002,2.0
2026-03-29,30091,S0002,1.0
2026-03-29,30091,S0005,1.0
2026-03-29,30091,S0010,1.0
2026-03-29,33100,S0010,2.0
2026-03-29,33110,S0002,9.0
2026-03-29,33110,S0005,5.0
2026-03-29,33110,S0010,3.0
2026-03-29,33110,S0010,1.0
2026-03-29,33116,S0001,4.0
2026-03-29,33116,S0002,6.0
2026-03-29,33116,S0005,2.0
2026-03-29,33116,S0010,3.0
2026-03-29,33120,S0001,1.0
2026-03-29,33120,S0001,1.0
2026-03-29,33120,S0005,1.0
2026-03-29,33130,S0001,3.0
2026-03-29,33130,S0002,1.0
2026-03-29,33130,S0005,1.0
2026-03-29,33130,S0010,2.0
2026-03-29,33150,S0001,2.0
2026-03-29,33150,S0002,4.0
2026-03-29,33150,S0005,1.0
2026-03-29,33160,S0001,5.0
2026-03-29,33160,S0002,1.0
2026-03-29,33160,S0002,3.0
2026-03-29,33160,S0005,2.0
2026-03-29,33160,S0010,1.0
2026-03-29,33170,S0001,6.0
2026-03-29,33170,S0002,5.0
2026-03-29,33170,S0005,2.0
2026-03-29,33170,S0010,6.0
2026-03-29,33200,S0001,5.0
2026-03-29,33200,S0002,4.0
2026-03-29,33200,S0005,5.0
2026-03-29,33200,S0010,4.0
2026-03-29,33250,S0001,9.0
2026-03-29,33250,S0002,6.0
2026-03-29,33250,S0005,2.0
2026-03-29,33250,S0010,1.0
2026-03-29,33250,S0010,4.0
2026-03-29,33310,S0001,11.0
2026-03-29,33310,S0002,16.0
2026-03-29,33310,S0005,10.0
2026-03-29,33310,S0010,9.0
2026-03-29,33323,S0001,11.0
2026-03-29,33323,S0002,8.0
2026-03-29,33323,S0005,4.0
2026-03-29,33323,S0010,7.0
2026-03-29,33341,S0001,9.0
2026-03-29,33341,S0002,5.0
2026-03-29,33341,S0005,3.0
2026-03-29,33341,S0010,2.0
2026-03-30,10000,S0001,10.0
2026-03-30,10000,S0002,9.0
2026-03-30,10000,S0002,3.0
2026-03-30,10000,S0013,4.0
2026-03-30,10000,S0013,1.0
2026-03-30,10045,S0001,10.0
2026-03-30,10045,S0002,8.0
2026-03-30,10045,S0013,3.0
2026-03-30,10070,S0001,4.0
2026-03-30,10070,S0002,2.0
2026-03-30,10070,S0013,3.0
2026-03-30,10100,S0001,3.0
2026-03-30,10100,S0013,1.0
2026-03-30,18200,S0001,6.0
2026-03-30,18200,S0002,3.0
2026-03-30,18200,S0013,1.0
2026-03-30,18230,S0001,2.0
2026-03-30,18230,S0002,2.0
2026-03-30,18230,S0013,1.0
2026-03-30,30091,S0002,1.0
2026-03-30,30091,S0005,1.0
2026-03-30,30091,S0010,1.0
2026-03-30,33110,S0001,13.0
2026-03-30,33110,S0002,5.0
2026-03-30,33110,S0002,3.0
2026-03-30,33110,S0005,4.0
2026-03-30,33110,S0010,9.0
2026-03-30,33110,S0010,3.0
2026-03-30,33116,S0005,1.0
2026-03-30,33116,S0010,3.0
2026-03-30,33120,S0001,2.0
2026-03-30,33120,S0002,2.0
2026-03-30,33130,S0001,2.0
2026-03-30,33130,S0002,2.0
2026-03-30,33130,S0005,1.0
2026-03-30,33130,S0010,2.0
2026-03-30,33150,S0001,1.0
2026-03-30,33150,S0002,2.0
2026-03-30,33150,S0005,1.0
2026-03-30,33150,S0010,1.0
2026-03-30,33160,S0001,3.0
2026-03-30,33160,S0002,2.0
2026-03-30,33160,S0005,1.0
2026-03-30,33160,S0005,1.0
2026-03-30,33160,S0010,1.0
2026-03-30,33170,S0002,4.0
2026-03-30,33170,S0005,2.0
2026-03-30,33170,S0010,2.0
2026-03-30,33200,S0001,6.0
2026-03-30,33200,S0002,4.0
2026-03-30,33200,S0005,3.0
2026-03-30,33200,S0010,4.0
2026-03-30,33250,S0001,6.0
2026-03-30,33250,S0002,5.0
2026-03-30,33250,S0005,1.0
2026-03-30,33250,S0010,6.0
2026-03-30,33310,S0001,9.0
2026-03-30,33310,S0002,13.0
2026-03-30,33310,S0005,11.0
2026-03-30,33310,S0010,10.0
2026-03-30,33323,S0001,10.0
2026-03-30,33323,S0002,7.0
2026-03-30,33323,S0005,3.0
2026-03-30,33323,S0010,3.0
2026-03-30,33341,S0001,8.0
2026-03-30,33341,S0002,2.0
2026-03-30,33341,S0005,3.0
2026-03-30,33341,S0010,2.0
2026-03-31,10000,S0001,2.0
2026-03-31,10000,S0001,9.0
2026-03-31,10000,S0002,10.0
2026-03-31,10000,S0013,7.0
2026-03-31,10045,S0001,7.0
2026-03-31,10045,S0002,5.0
2026-03-31,10045,S0013,5.0
2026-03-31,10070,S0001,6.0
2026-03-31,10070,S0002,6.0
2026-03-31,10070,S0013,6.0
2026-03-31,10100,S0001,1.0
2026-03-31,10100,S0002,1.0
2026-03-31,18200,S0001,2.0
2026-03-31,18200,S0002,1.0
2026-03-31,18200,S0013,1.0
2026-03-31,18200,W0003,9.0
2026-03-31,18230,S0001,3.0
2026-03-31,18230,S0002,1.0
2026-03-31,18230,S0002,2.0
2026-03-31,18230,S0013,2.0
2026-03-31,18230,W0003,9.0
2026-03-31,30091,S0001,1.0
2026-03-31,30091,S0002,1.0
2026-03-31,30091,S0010,1.0
2026-03-31,30091,W0003,2.0
2026-03-31,33100,S0001,10.0
2026-03-31,33100,S0002,6.0
2026-03-31,33100,S0005,4.0
2026-03-31,33100,S0010,5.0
2026-03-31,33110,S0002,10.0
2026-03-31,33110,S0005,4.0
2026-03-31,33110,S0010,4.0
2026-03-31,33116,S0001,4.0
2026-03-31,33116,S0002,3.0
2026-03-31,33116,S0005,3.0
2026-03-31,33116,S0010,3.0
2026-03-31,33120,S0001,1.0
2026-03-31,33120,S0002,1.0
2026-03-31,33120,S0005,1.0
2026-03-31,33120,S0010,1.0
2026-03-31,33130,S0001,2.0
2026-03-31,33130,S0002,1.0
2026-03-31,33130,S0005,2.0
2026-03-31,33130,S0010,3.0
2026-03-31,33150,S0001,1.0
2026-03-31,33150,S0002,2.0
2026-03-31,33160,S0001,5.0
2026-03-31,33160,S0002,2.0
2026-03-31,33160,S0010,2.0
2026-03-31,33160,S0010,1.0
2026-03-31,33170,S0001,5.0
2026-03-31,33170,S0002,3.0
2026-03-31,33170,S0002,1.0
2026-03-31,33170,S0005,2.0
2026-03-31,33170,S0010,1.0
2026-03-31,33200,S0001,7.0
2026-03-31,33200,S0002,2.0
2026-03-31,33200,S0005,1.0
2026-03-31,33200,S0010,2.0
2026-03-31,33250,S0001,4.0
2026-03-31,33250,S0002,5.0
2026-03-31,33250,S0005,2.0
2026-03-31,33250,S0010,3.0
2026-03-31,33310,S0001,12.0
2026-03-31,33310,S0002,11.0
2026-03-31,33310,S0005,8.0
2026-03-31,33310,S0010,10.0
2026-03-31,33310,W0003,41.0
2026-03-31,33323,S0001,12.0
2026-03-31,33323,S0002,5.0
2026-03-31,33323,S0005,6.0
2026-03-31,33323,S0010,5.0
2026-03-31,33323,W0003,26.0
2026-03-31,33341,S0001,6.0
2026-03-31,33341,S0002,3.0
2026-03-31,33341,S0005,2.0
2026-03-31,33341,S0010,3.0
2026-03-31,33341,W0003,9.0
2026-04-01,10000,S0001,13.0
2026-04-01,10000,S0002,8.0
2026-04-01,10000,S0013,1.0
2026-04-01,10000,S0013,3.0
2026-04-01,10045,S0001,5.0
2026-04-01,10045,S0002,7.0
2026-04-01,10045,S0013,4.0
2026-04-01,10070,S0001,5.0
2026-04-01,10070,S0002,2.0
2026-04-01,10070,S0013,3.0
2026-04-01,10100,S0001,4.0
2026-04-01,10100,S0002,3.0
2026-04-01,18200,S0001,3.0
2026-04-01,18200,S0002,4.0
2026-04-01,18200,S0013,2.0
2026-04-01,18230,S0001,3.0
2026-04-01,18230,S0002,2.0
2026-04-01,18230,S0013,1.0
2026-04-01,30091,S0001,1.0
2026-04-01,30091,S0002,1.0
2026-04-01,33100,S0001,10.0
2026-04-01,33100,S0002,5.0
2026-04-01,33100,S0005,4.0
2026-04-01,33100,S0010,11.0
2026-04-01,33110,S0001,13.0
2026-04-01,33110,S0002,15.0
2026-04-01,33110,S0005,6.0
2026-04-01,33110,S0010,5.0
2026-04-01,33116,S0002,6.0
2026-04-01,33116,S0005,2.0
2026-04-01,33116,S0010,6.0
2026-04-01,33120,S0001,2.0
2026-04-01,33120,S0002,2.0
2026-04-01,33120,S0010,2.0
2026-04-01,33130,S0001,2.0
2026-04-01,33130,S0002,1.0
2026-04-01,33150,S0002,3.0
2026-04-01,33150,S0005,1.0
2026-04-01,33150,S0010,1.0
2026-04-01,33160,S0001,4.0
2026-04-01,33160,S0002,2.0
2026-04-01,33160,S0005,1.0
2026-04-01,33160,S0005,1.0
2026-04-01,33170,S0002,6.0
2026-04-01,33170,S0005,3.0
2026-04-01,33170,S0010,3.0
2026-04-01,33200,S0001,9.0
2026-04-01,33200,S0002,2.0
2026-04-01,33200,S0005,1.0
2026-04-01,33200,S0010,4.0
2026-04-01,33250,S0001,5.0
2026-04-01,33250,S0002,5.0
2026-04-01,33250,S0005,1.0
2026-04-01,33250,S0010,4.0
2026-04-01,33310,S0001,7.0
2026-04-01,33310,S0002,7.0
2026-04-01,33310,S0005,5.0
2026-04-01,33310,S0010,7.0
2026-04-01,33323,S0001,8.0
2026-04-01,33323,S0002,7.0
2026-04-01,33323,S0005,2.0
2026-04-01,33323,S0010,5.0
2026-04-01,33341,S0001,5.0
2026-04-01,33341,S0002,4.0
2026-04-01,33341,S0005,2.0
2026-04-01,33341,S0010,3.0
