TABLEID:Item Journal Line
*Journal Template Name	*Journal Batch Name	*Line No.	*Item No.	*Posting Date	*Entry Type	*Document No.	*Location Code	*Quantity	*Unit Amount	*Unit Cost	*Amount	*Discount Amount	*Expiration Date	*Lot No.
ITEM	NWVDEMO	600000	10070	03/22/26	Positive Adjmt.	TR260322	S0002	50	0.5	0.5	25	0		
ITEM	NWVDEMO	610000	10100	03/22/26	Positive Adjmt.	TR260322	S0001	45	1.7	1.7	76.5	0		
ITEM	NWVDEMO	620000	10100	03/22/26	Positive Adjmt.	TR260322	S0002	13	1.7	1.7	22.1	0		
ITEM	NWVDEMO	630000	10100	03/22/26	Positive Adjmt.	TR260322	S0002	21	1.7	1.7	35.7	0		
ITEM	NWVDEMO	640000	10100	03/22/26	Positive Adjmt.	TR260322	S0013	16	1.7	1.7	27.2	0		
ITEM	NWVDEMO	650000	18200	03/22/26	Positive Adjmt.	TR260322	S0001	63	0.95	0.95	59.85	0		
ITEM	NWVDEMO	660000	18200	03/22/26	Positive Adjmt.	TR260322	S0002	24	0.95	0.95	22.8	0		
ITEM	NWVDEMO	670000	18200	03/22/26	Positive Adjmt.	TR260322	S0002	24	0.95	0.95	22.8	0		
ITEM	NWVDEMO	680000	18200	03/22/26	Positive Adjmt.	TR260322	S0013	22	0.95	0.95	20.9	0		
ITEM	NWVDEMO	690000	18230	03/22/26	Positive Adjmt.	TR260322	S0001	45	0.95	0.95	42.75	0		
ITEM	NWVDEMO	700000	18230	03/22/26	Positive Adjmt.	TR260322	S0002	18	0.95	0.95	17.1	0		
ITEM	NWVDEMO	710000	18230	03/22/26	Positive Adjmt.	TR260322	S0002	17	0.95	0.95	16.15	0		
ITEM	NWVDEMO	720000	18230	03/22/26	Positive Adjmt.	TR260322	S0013	16	0.95	0.95	15.2	0		
ITEM	NWVDEMO	730000	30091	03/22/26	Positive Adjmt.	TR260322	S0001	12	2.8	2.8	33.6	0		
ITEM	NWVDEMO	740000	30091	03/22/26	Positive Adjmt.	TR260322	S0002	9	2.8	2.8	25.2	0		
ITEM	NWVDEMO	750000	30091	03/22/26	Positive Adjmt.	TR260322	S0005	5	2.8	2.8	14	0		
ITEM	NWVDEMO	760000	30091	03/22/26	Positive Adjmt.	TR260322	S0010	8	2.8	2.8	22.4	0		
ITEM	NWVDEMO	770000	33100	03/22/26	Positive Adjmt.	TR260322	S0001	33	1	1	33	0	03/24/26	L260322-33100A
ITEM	NWVDEMO	780000	33100	03/22/26	Positive Adjmt.	TR260322	S0002	24	1	1	24	0	03/24/26	L260322-33100A
ITEM	NWVDEMO	790000	33100	03/22/26	Positive Adjmt.	TR260322	S0002	2	1	1	2	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	800000	33100	03/22/26	Positive Adjmt.	TR260322	S0005	14	1	1	14	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	810000	33100	03/22/26	Positive Adjmt.	TR260322	S0010	22	1	1	22	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	820000	33110	03/22/26	Positive Adjmt.	TR260322	S0001	26	1.2	1.2	31.2	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	830000	33110	03/22/26	Positive Adjmt.	TR260322	S0002	20	1.2	1.2	24	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	840000	33110	03/22/26	Positive Adjmt.	TR260322	S0005	7	1.2	1.2	8.4	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	850000	33110	03/22/26	Positive Adjmt.	TR260322	S0005	4	1.2	1.2	4.8	0	03/25/26	L260322-33110B
ITEM	NWVDEMO	860000	33110	03/22/26	Positive Adjmt.	TR260322	S0010	17	1.2	1.2	20.4	0	03/25/26	L260322-33110B
ITEM	NWVDEMO	870000	33116	03/22/26	Positive Adjmt.	TR260322	S0001	25	0.78	0.78	19.5	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	880000	33116	03/22/26	Positive Adjmt.	TR260322	S0002	19	0.78	0.78	14.82	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	890000	33116	03/22/26	Positive Adjmt.	TR260322	S0005	5	0.78	0.78	3.9	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	900000	33116	03/22/26	Positive Adjmt.	TR260322	S0005	6	0.78	0.78	4.68	0	03/27/26	L260322-33116B
ITEM	NWVDEMO	910000	33116	03/22/26	Positive Adjmt.	TR260322	S0010	16	0.78	0.78	12.48	0	03/27/26	L260322-33116B
ITEM	NWVDEMO	920000	33120	03/22/26	Positive Adjmt.	TR260322	S0001	19	6.5	6.5	123.5	0		
ITEM	NWVDEMO	930000	33120	03/22/26	Positive Adjmt.	TR260322	S0002	11	6.5	6.5	71.5	0		
ITEM	NWVDEMO	940000	33130	03/22/26	Positive Adjmt.	TR260322	S0001	14	7.1	7.1	99.4	0	03/29/26	L260322-33130
ITEM	NWVDEMO	950000	33130	03/22/26	Positive Adjmt.	TR260322	S0002	11	7.1	7.1	78.1	0	03/29/26	L260322-33130
ITEM	NWVDEMO	960000	33130	03/22/26	Positive Adjmt.	TR260322	S0005	6	7.1	7.1	42.6	0	03/29/26	L260322-33130
ITEM	NWVDEMO	970000	33130	03/22/26	Positive Adjmt.	TR260322	S0010	6	7.1	7.1	42.6	0	03/29/26	L260322-33130
ITEM	NWVDEMO	980000	33150	03/22/26	Positive Adjmt.	TR260322	S0001	25	7.5	7.5	187.5	0		
ITEM	NWVDEMO	990000	33150	03/22/26	Positive Adjmt.	TR260322	S0002	19	7.5	7.5	142.5	0		
ITEM	NWVDEMO	1000000	33150	03/22/26	Positive Adjmt.	TR260322	S0005	4	7.5	7.5	30	0		
ITEM	NWVDEMO	1010000	33150	03/22/26	Positive Adjmt.	TR260322	S0005	7	7.5	7.5	52.5	0		
ITEM	NWVDEMO	1020000	33150	03/22/26	Positive Adjmt.	TR260322	S0010	16	7.5	7.5	120	0		
ITEM	NWVDEMO	1030000	33160	03/22/26	Positive Adjmt.	TR260322	S0001	18	5.5	5.5	99	0	03/29/26	L260322-33160A
ITEM	NWVDEMO	1040000	33160	03/22/26	Positive Adjmt.	TR260322	S0002	6	5.5	5.5	33	0	03/29/26	L260322-33160A
ITEM	NWVDEMO	1050000	33160	03/22/26	Positive Adjmt.	TR260322	S0002	8	5.5	5.5	44	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	1060000	33160	03/22/26	Positive Adjmt.	TR260322	S0005	8	5.5	5.5	44	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	1070000	33160	03/22/26	Positive Adjmt.	TR260322	S0010	9	5.5	5.5	49.5	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	1080000	33170	03/22/26	Positive Adjmt.	TR260322	S0001	19	5.5	5.5	104.5	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	1090000	33170	03/22/26	Positive Adjmt.	TR260322	S0002	14	5.5	5.5	77	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	1100000	33170	03/22/26	Positive Adjmt.	TR260322	S0005	4	5.5	5.5	22	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	1110000	33170	03/22/26	Positive Adjmt.	TR260322	S0005	4	5.5	5.5	22	0	03/28/26	L260322-33170B
ITEM	NWVDEMO	1120000	33170	03/22/26	Positive Adjmt.	TR260322	S0010	12	5.5	5.5	66	0	03/28/26	L260322-33170B
ITEM	NWVDEMO	1130000	33200	03/22/26	Positive Adjmt.	TR260322	S0001	100	4.2	4.2	420	0		
ITEM	NWVDEMO	1140000	33200	03/22/26	Positive Adjmt.	TR260322	S0002	27	4.2	4.2	113.4	0		
ITEM	NWVDEMO	1150000	33200	03/22/26	Positive Adjmt.	TR260322	S0002	50	4.2	4.2	210	0		
ITEM	NWVDEMO	1160000	33200	03/22/26	Positive Adjmt.	TR260322	S0005	42	4.2	4.2	176.4	0		
ITEM	NWVDEMO	1170000	33200	03/22/26	Positive Adjmt.	TR260322	S0010	37	4.2	4.2	155.4	0		
ITEM	NWVDEMO	1180000	33200	03/22/26	Positive Adjmt.	TR260322	S0010	28	4.2	4.2	117.6	0		
ITEM	NWVDEMO	1190000	33250	03/22/26	Positive Adjmt.	TR260322	S0001	88	4.1	4.1	360.8	0		
ITEM	NWVDEMO	1200000	33250	03/22/26	Positive Adjmt.	TR260322	S0002	23	4.1	4.1	94.3	0		
ITEM	NWVDEMO	1210000	33250	03/22/26	Positive Adjmt.	TR260322	S0002	44	4.1	4.1	180.4	0		
ITEM	NWVDEMO	1220000	33250	03/22/26	Positive Adjmt.	TR260322	S0005	37	4.1	4.1	151.7	0		
ITEM	NWVDEMO	1230000	33250	03/22/26	Positive Adjmt.	TR260322	S0010	32	4.1	4.1	131.2	0		
ITEM	NWVDEMO	1240000	33250	03/22/26	Positive Adjmt.	TR260322	S0010	25	4.1	4.1	102.5	0		
ITEM	NWVDEMO	1250000	33310	03/22/26	Positive Adjmt.	TR260322	S0001	225	1.1	1.1	247.5	0	11/28/26	L260322-33310A
ITEM	NWVDEMO	1260000	33310	03/22/26	Positive Adjmt.	TR260322	S0002	173	1.1	1.1	190.3	0	11/28/26	L260322-33310A
ITEM	NWVDEMO	1270000	33310	03/22/26	Positive Adjmt.	TR260322	S0005	22	1.1	1.1	24.2	0	11/28/26	L260322-33310A
ITEM	NWVDEMO	1280000	33310	03/22/26	Positive Adjmt.	TR260322	S0005	73	1.1	1.1	80.3	0	12/04/26	L260322-33310C
ITEM	NWVDEMO	1290000	33310	03/22/26	Positive Adjmt.	TR260322	S0010	147	1.1	1.1	161.7	0	12/04/26	L260322-33310C
ITEM	NWVDEMO	1300000	33323	03/22/26	Positive Adjmt.	TR260322	S0001	175	1.1	1.1	192.5	0	11/04/26	L260322-33323A
ITEM	NWVDEMO	1310000	33323	03/22/26	Positive Adjmt.	TR260322	S0002	135	1.1	1.1	148.5	0	11/04/26	L260322-33323A
ITEM	NWVDEMO	1320000	33323	03/22/26	Positive Adjmt.	TR260322	S0005	17	1.1	1.1	18.7	0	11/04/26	L260322-33323A
ITEM	NWVDEMO	1330000	33323	03/22/26	Positive Adjmt.	TR260322	S0005	57	1.1	1.1	62.7	0	11/26/26	L260322-33323B
ITEM	NWVDEMO	1340000	33323	03/22/26	Positive Adjmt.	TR260322	S0010	115	1.1	1.1	126.5	0	11/26/26	L260322-33323B
ITEM	NWVDEMO	1350000	33341	03/22/26	Positive Adjmt.	TR260322	S0001	75	2.1	2.1	157.5	0	08/31/26	L260322-33341C
ITEM	NWVDEMO	1360000	33341	03/22/26	Positive Adjmt.	TR260322	S0002	58	2.1	2.1	121.8	0	08/31/26	L260322-33341C
ITEM	NWVDEMO	1370000	33341	03/22/26	Positive Adjmt.	TR260322	S0005	7	2.1	2.1	14.7	0	08/31/26	L260322-33341C
ITEM	NWVDEMO	1380000	33341	03/22/26	Positive Adjmt.	TR260322	S0005	25	2.1	2.1	52.5	0	10/01/26	L260322-33341A
ITEM	NWVDEMO	1390000	33341	03/22/26	Positive Adjmt.	TR260322	S0010	49	2.1	2.1	102.9	0	10/01/26	L260322-33341A
ITEM	NWVDEMO	1400000	10000	03/22/26	Negative Adjmt.	TR260322	W0003	55	0.9	0.9	49.5	0		
ITEM	NWVDEMO	1410000	10000	03/22/26	Negative Adjmt.	TR260322	W0003	28	0.9	0.9	25.2	0		
ITEM	NWVDEMO	1420000	10000	03/22/26	Negative Adjmt.	TR260322	W0003	27	0.9	0.9	24.3	0		
ITEM	NWVDEMO	1430000	10000	03/22/26	Negative Adjmt.	TR260322	W0003	37	0.9	0.9	33.3	0		
ITEM	NWVDEMO	1440000	10000	03/22/26	Negative Adjmt.	TR260322	W0003	18	0.9	0.9	16.2	0		
ITEM	NWVDEMO	1450000	10045	03/22/26	Negative Adjmt.	TR260322	W0003	55	0.45	0.45	24.75	0		
ITEM	NWVDEMO	1460000	10045	03/22/26	Negative Adjmt.	TR260322	W0003	55	0.45	0.45	24.75	0		
ITEM	NWVDEMO	1470000	10070	03/22/26	Negative Adjmt.	TR260322	W0003	50	0.5	0.5	25	0		
ITEM	NWVDEMO	1480000	10070	03/22/26	Negative Adjmt.	TR260322	W0003	48	0.5	0.5	24	0		
ITEM	NWVDEMO	1490000	10070	03/22/26	Negative Adjmt.	TR260322	W0003	2	0.5	0.5	1	0		
ITEM	NWVDEMO	1500000	10070	03/22/26	Negative Adjmt.	TR260322	W0003	50	0.5	0.5	25	0		
ITEM	NWVDEMO	1510000	10100	03/22/26	Negative Adjmt.	TR260322	W0003	45	1.7	1.7	76.5	0		
ITEM	NWVDEMO	1520000	10100	03/22/26	Negative Adjmt.	TR260322	W0003	13	1.7	1.7	22.1	0		
ITEM	NWVDEMO	1530000	10100	03/22/26	Negative Adjmt.	TR260322	W0003	21	1.7	1.7	35.7	0		
ITEM	NWVDEMO	1540000	10100	03/22/26	Negative Adjmt.	TR260322	W0003	16	1.7	1.7	27.2	0		
ITEM	NWVDEMO	1550000	18200	03/22/26	Negative Adjmt.	TR260322	W0003	63	0.95	0.95	59.85	0		
ITEM	NWVDEMO	1560000	18200	03/22/26	Negative Adjmt.	TR260322	W0003	24	0.95	0.95	22.8	0		
ITEM	NWVDEMO	1570000	18200	03/22/26	Negative Adjmt.	TR260322	W0003	24	0.95	0.95	22.8	0		
ITEM	NWVDEMO	1580000	18200	03/22/26	Negative Adjmt.	TR260322	W0003	22	0.95	0.95	20.9	0		
ITEM	NWVDEMO	1590000	18230	03/22/26	Negative Adjmt.	TR260322	W0003	45	0.95	0.95	42.75	0		
ITEM	NWVDEMO	1600000	18230	03/22/26	Negative Adjmt.	TR260322	W0003	18	0.95	0.95	17.1	0		
ITEM	NWVDEMO	1610000	18230	03/22/26	Negative Adjmt.	TR260322	W0003	17	0.95	0.95	16.15	0		
ITEM	NWVDEMO	1620000	18230	03/22/26	Negative Adjmt.	TR260322	W0003	16	0.95	0.95	15.2	0		
ITEM	NWVDEMO	1630000	30091	03/22/26	Negative Adjmt.	TR260322	W0003	12	2.8	2.8	33.6	0		
ITEM	NWVDEMO	1640000	30091	03/22/26	Negative Adjmt.	TR260322	W0003	9	2.8	2.8	25.2	0		
ITEM	NWVDEMO	1650000	30091	03/22/26	Negative Adjmt.	TR260322	W0003	5	2.8	2.8	14	0		
ITEM	NWVDEMO	1660000	30091	03/22/26	Negative Adjmt.	TR260322	W0003	8	2.8	2.8	22.4	0		
ITEM	NWVDEMO	1670000	33100	03/22/26	Negative Adjmt.	TR260322	W0003	33	1	1	33	0	03/24/26	L260322-33100A
ITEM	NWVDEMO	1680000	33100	03/22/26	Negative Adjmt.	TR260322	W0003	24	1	1	24	0	03/24/26	L260322-33100A
ITEM	NWVDEMO	1690000	33100	03/22/26	Negative Adjmt.	TR260322	W0003	2	1	1	2	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	1700000	33100	03/22/26	Negative Adjmt.	TR260322	W0003	14	1	1	14	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	1710000	33100	03/22/26	Negative Adjmt.	TR260322	W0003	22	1	1	22	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	1720000	33110	03/22/26	Negative Adjmt.	TR260322	W0003	26	1.2	1.2	31.2	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	1730000	33110	03/22/26	Negative Adjmt.	TR260322	W0003	20	1.2	1.2	24	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	1740000	33110	03/22/26	Negative Adjmt.	TR260322	W0003	7	1.2	1.2	8.4	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	1750000	33110	03/22/26	Negative Adjmt.	TR260322	W0003	4	1.2	1.2	4.8	0	03/25/26	L260322-33110B
ITEM	NWVDEMO	1760000	33110	03/22/26	Negative Adjmt.	TR260322	W0003	17	1.2	1.2	20.4	0	03/25/26	L260322-33110B
ITEM	NWVDEMO	1770000	33116	03/22/26	Negative Adjmt.	TR260322	W0003	25	0.78	0.78	19.5	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	1780000	33116	03/22/26	Negative Adjmt.	TR260322	W0003	19	0.78	0.78	14.82	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	1790000	33116	03/22/26	Negative Adjmt.	TR260322	W0003	5	0.78	0.78	3.9	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	1800000	33116	03/22/26	Negative Adjmt.	TR260322	W0003	6	0.78	0.78	4.68	0	03/27/26	L260322-33116B
ITEM	NWVDEMO	1810000	33116	03/22/26	Negative Adjmt.	TR260322	W0003	16	0.78	0.78	12.48	0	03/27/26	L260322-33116B
ITEM	NWVDEMO	1820000	33120	03/22/26	Negative Adjmt.	TR260322	W0003	19	6.5	6.5	123.5	0		
ITEM	NWVDEMO	1830000	33120	03/22/26	Negative Adjmt.	TR260322	W0003	11	6.5	6.5	71.5	0		
ITEM	NWVDEMO	1840000	33130	03/22/26	Negative Adjmt.	TR260322	W0003	14	7.1	7.1	99.4	0	03/29/26	L260322-33130
ITEM	NWVDEMO	1850000	33130	03/22/26	Negative Adjmt.	TR260322	W0003	11	7.1	7.1	78.1	0	03/29/26	L260322-33130
ITEM	NWVDEMO	1860000	33130	03/22/26	Negative Adjmt.	TR260322	W0003	6	7.1	7.1	42.6	0	03/29/26	L260322-33130
ITEM	NWVDEMO	1870000	33130	03/22/26	Negative Adjmt.	TR260322	W0003	6	7.1	7.1	42.6	0	03/29/26	L260322-33130
ITEM	NWVDEMO	1880000	33150	03/22/26	Negative Adjmt.	TR260322	W0003	25	7.5	7.5	187.5	0		
ITEM	NWVDEMO	1890000	33150	03/22/26	Negative Adjmt.	TR260322	W0003	19	7.5	7.5	142.5	0		
ITEM	NWVDEMO	1900000	33150	03/22/26	Negative Adjmt.	TR260322	W0003	4	7.5	7.5	30	0		
ITEM	NWVDEMO	1910000	33150	03/22/26	Negative Adjmt.	TR260322	W0003	7	7.5	7.5	52.5	0		
ITEM	NWVDEMO	1920000	33150	03/22/26	Negative Adjmt.	TR260322	W0003	16	7.5	7.5	120	0		
ITEM	NWVDEMO	1930000	33160	03/22/26	Negative Adjmt.	TR260322	W0003	18	5.5	5.5	99	0	03/29/26	L260322-33160A
ITEM	NWVDEMO	1940000	33160	03/22/26	Negative Adjmt.	TR260322	W0003	6	5.5	5.5	33	0	03/29/26	L260322-33160A
ITEM	NWVDEMO	1950000	33160	03/22/26	Negative Adjmt.	TR260322	W0003	8	5.5	5.5	44	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	1960000	33160	03/22/26	Negative Adjmt.	TR260322	W0003	8	5.5	5.5	44	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	1970000	33160	03/22/26	Negative Adjmt.	TR260322	W0003	9	5.5	5.5	49.5	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	1980000	33170	03/22/26	Negative Adjmt.	TR260322	W0003	19	5.5	5.5	104.5	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	1990000	33170	03/22/26	Negative Adjmt.	TR260322	W0003	14	5.5	5.5	77	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	2000000	33170	03/22/26	Negative Adjmt.	TR260322	W0003	4	5.5	5.5	22	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	2010000	33170	03/22/26	Negative Adjmt.	TR260322	W0003	4	5.5	5.5	22	0	03/28/26	L260322-33170B
ITEM	NWVDEMO	2020000	33170	03/22/26	Negative Adjmt.	TR260322	W0003	12	5.5	5.5	66	0	03/28/26	L260322-33170B
ITEM	NWVDEMO	2030000	33200	03/22/26	Negative Adjmt.	TR260322	W0003	100	4.2	4.2	420	0		
ITEM	NWVDEMO	2040000	33200	03/22/26	Negative Adjmt.	TR260322	W0003	27	4.2	4.2	113.4	0		
ITEM	NWVDEMO	2050000	33200	03/22/26	Negative Adjmt.	TR260322	W0003	50	4.2	4.2	210	0		
ITEM	NWVDEMO	2060000	33200	03/22/26	Negative Adjmt.	TR260322	W0003	42	4.2	4.2	176.4	0		
ITEM	NWVDEMO	2070000	33200	03/22/26	Negative Adjmt.	TR260322	W0003	37	4.2	4.2	155.4	0		
ITEM	NWVDEMO	2080000	33200	03/22/26	Negative Adjmt.	TR260322	W0003	28	4.2	4.2	117.6	0		
ITEM	NWVDEMO	2090000	33250	03/22/26	Negative Adjmt.	TR260322	W0003	88	4.1	4.1	360.8	0		
ITEM	NWVDEMO	2100000	33250	03/22/26	Negative Adjmt.	TR260322	W0003	23	4.1	4.1	94.3	0		
