TABLEID:Lot No. Information
*Item No.	*Variant Code	*Lot No.	*Description	*Test Quality	*Certificate Number	*Blocked	*Country/Region Code
33110		L260513-33110A	HSD 16/05/2026	 		No	
33110		L260513-33110B	HSD 17/05/2026	 		No	
33110		L260515-33110A	HSD 19/05/2026	 		No	
33110		L260515-33110B	HSD 19/05/2026	 		No	
33110		L260517-33110A	HSD 20/05/2026	 		No	
33110		L260517-33110B	HSD 19/05/2026	 		No	
33110		L260519-33110A	HSD 23/05/2026	 		No	
33110		L260519-33110B	HSD 22/05/2026	 		No	
33110		L260521-33110A	HSD 25/05/2026	 		No	
33110		L260521-33110B	HSD 23/05/2026	 		No	
33110		L260523-33110A	HSD 25/05/2026	 		No	
33110		L260523-33110B	HSD 26/05/2026	 		No	
33110		L260525-33110A	HSD 27/05/2026	 		No	
33110		L260525-33110B	HSD 29/05/2026	 		No	
33110		L260527-33110A	HSD 29/05/2026	 		No	
33110		L260527-33110B	HSD 29/05/2026	 		No	
33110		L260529-33110A	HSD 02/06/2026	 		No	
33110		L260529-33110B	HSD 01/06/2026	 		No	
33110		L260531-33110A	HSD 03/06/2026	 		No	
33110		L260531-33110B	HSD 02/06/2026	 		No	
33110		L260602-33110A	HSD 04/06/2026	 		No	
33110		L260602-33110B	HSD 05/06/2026	 		No	
33110		L260604-33110A	HSD 07/06/2026	 		No	
33110		L260604-33110B	HSD 06/06/2026	 		No	
33110		L260606-33110A	HSD 09/06/2026	 		No	
33110		L260606-33110B	HSD 10/06/2026	 		No	
33110		L260608-33110A	HSD 11/06/2026	 		No	
33110		L260608-33110B	HSD 11/06/2026	 		No	
33110		L260610-33110A	HSD 14/06/2026	 		No	
33110		L260610-33110B	HSD 13/06/2026	 		No	
33110		L260612-33110A	HSD 14/06/2026	 		No	
33110		L260612-33110B	HSD 16/06/2026	 		No	
33110		L260614-33110A	HSD 16/06/2026	 		No	
33110		L260614-33110B	HSD 16/06/2026	 		No	
33110		L260616-33110A	HSD 20/06/2026	 		No	
33110		L260616-33110B	HSD 18/06/2026	 		No	
33110		L260618-33110A	HSD 21/06/2026	 		No	
33110		L260618-33110B	HSD 20/06/2026	 		No	
33110		L260620-33110A	HSD 24/06/2026	 		No	
33110		L260620-33110B	HSD 24/06/2026	 		No	
33110		L260622-33110A	HSD 25/06/2026	 		No	
33110		L260622-33110B	HSD 26/06/2026	 		No	
33110		L260624-33110A	HSD 26/06/2026	 		No	
33110		L260624-33110B	HSD 27/06/2026	 		No	
33110		L260626-33110A	HSD 28/06/2026	 		No	
33110		L260626-33110B	HSD 28/06/2026	 		No	
33110		L260628-33110A	HSD 30/06/2026	 		No	
33110		L260628-33110B	HSD 30/06/2026	 		No	
33110		L260630-33110A	HSD 03/07/2026	 		No	
33110		L260630-33110B	HSD 03/07/2026	 		No	
33110		L260702-33110A	HSD 06/07/2026	 		No	
33110		L260702-33110B	HSD 05/07/2026	 		No	
33110		L260704-33110A	HSD 07/07/2026	 		No	
33110		L260704-33110B	HSD 07/07/2026	 		No	
33110		L260706-33110A	HSD 09/07/2026	 		No	
33110		L260706-33110B	HSD 10/07/2026	 		No	
33110		L260708-33110A	HSD 11/07/2026	 		No	
33110		L260708-33110B	HSD 11/07/2026	 		No	
33110		L260710-33110A	HSD 13/07/2026	 		No	
33110		L260710-33110B	HSD 14/07/2026	 		No	
33110		L260712-33110A	HSD 14/07/2026	 		No	
33110		L260712-33110B	HSD 14/07/2026	 		No	
33110		L260714-33110A	HSD 16/07/2026	 		No	
33110		L260714-33110B	HSD 17/07/2026	 		No	
33110		L260716-33110A	HSD 19/07/2026	 		No	
33110		L260716-33110B	HSD 18/07/2026	 		No	
33110		L260718-33110A	HSD 22/07/2026	 		No	
33110		L260718-33110B	HSD 22/07/2026	 		No	
33110		L260720-33110A	HSD 24/07/2026	 		No	
33110		L260720-33110B	HSD 23/07/2026	 		No	
33110		L260722-33110A	HSD 25/07/2026	 		No	
33110		L260722-33110B	HSD 24/07/2026	 		No	
33110		L260724-33110A	HSD 26/07/2026	 		No	
33110		L260724-33110B	HSD 28/07/2026	 		No	
33110		L260726-33110A	HSD 28/07/2026	 		No	
33110		L260726-33110B	HSD 29/07/2026	 		No	
33110		L260728-33110A	HSD 30/07/2026	 		No	
33110		L260728-33110B	HSD 30/07/2026	 		No	
33110		L260730-33110A	HSD 01/08/2026	 		No	
33110		L260730-33110B	HSD 03/08/2026	 		No	
33110		L260801-33110A	HSD 03/08/2026	 		No	
33110		L260801-33110B	HSD 03/08/2026	 		No	
33110		L260803-33110A	HSD 06/08/2026	 		No	
33110		L260803-33110B	HSD 05/08/2026	 		No	
33110		L260805-33110A	HSD 07/08/2026	 		No	
33110		L260805-33110B	HSD 08/08/2026	 		No	
33110		L260807-33110A	HSD 11/08/2026	 		No	
33110		L260807-33110B	HSD 11/08/2026	 		No	
33110		L260809-33110A	HSD 13/08/2026	 		No	
33110		L260809-33110B	HSD 12/08/2026	 		No	
33110		L260811-33110A	HSD 14/08/2026	 		No	
33110		L260811-33110B	HSD 15/08/2026	 		No	
33110		L260813-33110A	HSD 16/08/2026	 		No	
33110		L260813-33110B	HSD 16/08/2026	 		No	
33110		L260815-33110A	HSD 19/08/2026	 		No	
33110		L260815-33110B	HSD 19/08/2026	 		No	
33110		L260817-33110A	HSD 21/08/2026	 		No	
33110		L260817-33110B	HSD 20/08/2026	 		No	
33110		L260819-33110A	HSD 21/08/2026	 		No	
33110		L260819-33110B	HSD 21/08/2026	 		No	
33110		L260821-33110A	HSD 24/08/2026	 		No	
33110		L260821-33110B	HSD 23/08/2026	 		No	
33110		L260823-33110A	HSD 26/08/2026	 		No	
33110		L260823-33110B	HSD 27/08/2026	 		No	
33110		L260825-33110A	HSD 29/08/2026	 		No	
33110		L260825-33110B	HSD 29/08/2026	 		No	
33110		L260827-33110A	HSD 29/08/2026	 		No	
33110		L260827-33110B	HSD 29/08/2026	 		No	
33110		L260829-33110A	HSD 01/09/2026	 		No	
33110		L260829-33110B	HSD 02/09/2026	 		No	
33110		L260831-33110A	HSD 04/09/2026	 		No	
33110		L260831-33110B	HSD 03/09/2026	 		No	
33110		L260902-33110A	HSD 04/09/2026	 		No	
33110		L260902-33110B	HSD 04/09/2026	 		No	
33110		L260904-33110A	HSD 07/09/2026	 		No	
33110		L260904-33110B	HSD 08/09/2026	 		No	
33110		L260906-33110A	HSD 09/09/2026	 		No	
33110		L260906-33110B	HSD 10/09/2026	 		No	
33110		L260908-33110A	HSD 11/09/2026	 		No	
33110		L260908-33110B	HSD 11/09/2026	 		No	
33110		L260910-33110A	HSD 13/09/2026	 		No	
33110		L260910-33110B	HSD 14/09/2026	 		No	
33110		L260912-33110A	HSD 14/09/2026	 		No	
33110		L260912-33110B	HSD 14/09/2026	 		No	
33110		L260914-33110-SD	HSD 17/09/2026	 		No	
33110		L260914-33110A	HSD 16/09/2026	 		No	
33110		L260914-33110B	HSD 18/09/2026	 		No	
33110		L260916-33110A	HSD 20/09/2026	 		No	
33110		L260916-33110B	HSD 18/09/2026	 		No	
33110		L260918-33110	HSD 22/09/2026	 		No	
33116		L260322-33116A	HSD 26/03/2026	 		No	
33116		L260322-33116B	HSD 27/03/2026	 		No	
33116		L260324-33116A	HSD 28/03/2026	 		No	
33116		L260324-33116B	HSD 29/03/2026	 		No	
33116		L260326-33116A	HSD 30/03/2026	 		No	
33116		L260326-33116B	HSD 31/03/2026	 		No	
33116		L260330-33116A	HSD 03/04/2026	 		No	
33116		L260330-33116B	HSD 05/04/2026	 		No	
33116		L260401-33116A	HSD 05/04/2026	 		No	
33116		L260401-33116B	HSD 07/04/2026	 		No	
33116		L260405-33116A	HSD 09/04/2026	 		No	
33116		L260405-33116B	HSD 10/04/2026	 		No	
33116		L260407-33116A	HSD 12/04/2026	 		No	
33116		L260407-33116B	HSD 12/04/2026	 		No	
33116		L260409-33116	HSD 14/04/2026	 		No	
33116		L260411-33116A	HSD 16/04/2026	 		No	
33116		L260411-33116B	HSD 15/04/2026	 		No	
33116		L260413-33116A	HSD 19/04/2026	 		No	
33116		L260413-33116B	HSD 19/04/2026	 		No	
33116		L260415-33116	HSD 20/04/2026	 		No	
33116		L260417-33116A	HSD 21/04/2026	 		No	
33116		L260417-33116B	HSD 21/04/2026	 		No	
33116		L260419-33116A	HSD 25/04/2026	 		No	
33116		L260419-33116B	HSD 24/04/2026	 		No	
33116		L260423-33116A	HSD 28/04/2026	 		No	
33116		L260423-33116B	HSD 29/04/2026	 		No	
33116		L260425-33116A	HSD 30/04/2026	 		No	
33116		L260425-33116B	HSD 01/05/2026	 		No	
33116		L260429-33116A	HSD 05/05/2026	 		No	
33116		L260429-33116B	HSD 05/05/2026	 		No	
33116		L260501-33116A	HSD 07/05/2026	 		No	
33116		L260501-33116B	HSD 05/05/2026	 		No	
33116		L260505-33116A	HSD 09/05/2026	 		No	
33116		L260505-33116B	HSD 11/05/2026	 		No	
33116		L260507-33116A	HSD 11/05/2026	 		No	
33116		L260507-33116B	HSD 13/05/2026	 		No	
33116		L260511-33116A	HSD 15/05/2026	 		No	
33116		L260511-33116B	HSD 16/05/2026	 		No	
33116		L260513-33116A	HSD 18/05/2026	 		No	
33116		L260513-33116B	HSD 17/05/2026	 		No	
33116		L260517-33116A	HSD 21/05/2026	 		No	
33116		L260517-33116B	HSD 23/05/2026	 		No	
33116		L260519-33116A	HSD 25/05/2026	 		No	
33116		L260519-33116B	HSD 23/05/2026	 		No	
33116		L260521-33116	HSD 27/05/2026	 		No	
33116		L260523-33116A	HSD 29/05/2026	 		No	
33116		L260523-33116B	HSD 29/05/2026	 		No	
33116		L260525-33116A	HSD 30/05/2026	 		No	
33116		L260525-33116B	HSD 29/05/2026	 		No	
33116		L260527-33116	HSD 31/05/2026	 		No	
33116		L260529-33116A	HSD 04/06/2026	 		No	
33116		L260529-33116B	HSD 03/06/2026	 		No	
33116		L260531-33116A	HSD 04/06/2026	 		No	
33116		L260531-33116B	HSD 06/06/2026	 		No	
33116		L260604-33116A	HSD 10/06/2026	 		No	
33116		L260604-33116B	HSD 09/06/2026	 		No	
33116		L260606-33116A	HSD 10/06/2026	 		No	
33116		L260606-33116B	HSD 10/06/2026	 		No	
33116		L260610-33116A	HSD 14/06/2026	 		No	
33116		L260610-33116B	HSD 14/06/2026	 		No	
33116		L260612-33116A	HSD 17/06/2026	 		No	
33116		L260612-33116B	HSD 18/06/2026	 		No	
33116		L260616-33116A	HSD 21/06/2026	 		No	
33116		L260616-33116B	HSD 21/06/2026	 		No	
33116		L260618-33116A	HSD 22/06/2026	 		No	
33116		L260618-33116B	HSD 22/06/2026	 		No	
33116		L260622-33116A	HSD 28/06/2026	 		No	
33116		L260622-33116B	HSD 27/06/2026	 		No	
33116		L260624-33116A	HSD 29/06/2026	 		No	
33116		L260624-33116B	HSD 28/06/2026	 		No	
33116		L260628-33116A	HSD 03/07/2026	 		No	
33116		L260628-33116B	HSD 02/07/2026	 		No	
33116		L260630-33116A	HSD 04/07/2026	 		No	
33116		L260630-33116B	HSD 05/07/2026	 		No	
33116		L260702-33116	HSD 07/07/2026	 		No	
33116		L260704-33116A	HSD 10/07/2026	 		No	
33116		L260704-33116B	HSD 09/07/2026	 		No	
33116		L260706-33116A	HSD 10/07/2026	 		No	
33116		L260706-33116B	HSD 10/07/2026	 		No	
33116		L260708-33116	HSD 12/07/2026	 		No	
33116		L260710-33116A	HSD 16/07/2026	 		No	
33116		L260710-33116B	HSD 15/07/2026	 		No	
33116		L260712-33116A	HSD 16/07/2026	 		No	
33116		L260712-33116B	HSD 17/07/2026	 		No	
33116		L260716-33116A	HSD 22/07/2026	 		No	
33116		L260716-33116B	HSD 22/07/2026	 		No	
33116		L260718-33116A	HSD 24/07/2026	 		No	
33116		L260718-33116B	HSD 24/07/2026	 		No	
33116		L260722-33116A	HSD 27/07/2026	 		No	
33116		L260722-33116B	HSD 28/07/2026	 		No	
33116		L260724-33116A	HSD 30/07/2026	 		No	
33116		L260724-33116B	HSD 29/07/2026	 		No	
33116		L260728-33116A	HSD 01/08/2026	 		No	
33116		L260728-33116B	HSD 03/08/2026	 		No	
33116		L260730-33116A	HSD 03/08/2026	 		No	
33116		L260730-33116B	HSD 03/08/2026	 		No	
33116		L260803-33116A	HSD 09/08/2026	 		No	
33116		L260803-33116B	HSD 07/08/2026	 		No	
33116		L260805-33116A	HSD 11/08/2026	 		No	
33116		L260805-33116B	HSD 10/08/2026	 		No	
33116		L260809-33116A	HSD 14/08/2026	 		No	
33116		L260809-33116B	HSD 14/08/2026	 		No	
33116		L260811-33116A	HSD 17/08/2026	 		No	
33116		L260811-33116B	HSD 15/08/2026	 		No	
33116		L260813-33116	HSD 18/08/2026	 		No	
33116		L260815-33116A	HSD 21/08/2026	 		No	
33116		L260815-33116B	HSD 21/08/2026	 		No	
33116		L260817-33116A	HSD 23/08/2026	 		No	
33116		L260817-33116B	HSD 22/08/2026	 		No	
33116		L260819-33116	HSD 24/08/2026	 		No	
33116		L260821-33116A	HSD 25/08/2026	 		No	
33116		L260821-33116B	HSD 25/08/2026	 		No	
33116		L260823-33116A	HSD 27/08/2026	 		No	
33116		L260823-33116B	HSD 28/08/2026	 		No	
33116		L260827-33116A	HSD 31/08/2026	 		No	
33116		L260827-33116B	HSD 31/08/2026	 		No	
33116		L260829-33116A	HSD 02/09/2026	 		No	
33116		L260829-33116B	HSD 02/09/2026	 		No	
33116		L260902-33116A	HSD 06/09/2026	 		No	
33116		L260902-33116B	HSD 07/09/2026	 		No	
33116		L260904-33116A	HSD 10/09/2026	 		No	
33116		L260904-33116B	HSD 09/09/2026	 		No	
33116		L260908-33116A	HSD 14/09/2026	 		No	
33116		L260908-33116B	HSD 12/09/2026	 		No	
33116		L260910-33116A	HSD 15/09/2026	 		No	
33116		L260910-33116B	HSD 15/09/2026	 		No	
33116		L260914-33116A	HSD 20/09/2026	 		No	
33116		L260914-33116B	HSD 19/09/2026	 		No	
33116		L260916-33116A	HSD 21/09/2026	 		No	
33116		L260916-33116B	HSD 20/09/2026	 		No	
33130		L260322-33130	HSD 29/03/2026	 		No	
33130		L260324-33130	HSD 31/03/2026	 		No	
33130		L260326-33130	HSD 03/04/2026	 		No	
33130		L260330-33130	HSD 05/04/2026	 		No	
33130		L260401-33130	HSD 09/04/2026	 		No	
33130		L260405-33130	HSD 13/04/2026	 		No	
33130		L260407-33130	HSD 15/04/2026	 		No	
33130		L260409-33130	HSD 17/04/2026	 		No	
33130		L260411-33130	HSD 17/04/2026	 		No	
33130		L260413-33130	HSD 21/04/2026	 		No	
33130		L260415-33130	HSD 23/04/2026	 		No	
33130		L260417-33130	HSD 25/04/2026	 		No	
33130		L260419-33130	HSD 25/04/2026	 		No	
33130		L260423-33130	HSD 01/05/2026	 		No	
33130		L260425-33130	HSD 03/05/2026	 		No	
33130		L260429-33130	HSD 05/05/2026	 		No	
33130		L260501-33130	HSD 09/05/2026	 		No	
33130		L260505-33130	HSD 12/05/2026	 		No	
33130		L260507-33130	HSD 13/05/2026	 		No	
33130		L260511-33130	HSD 18/05/2026	 		No	
33130		L260513-33130	HSD 19/05/2026	 		No	
33130		L260517-33130	HSD 23/05/2026	 		No	
33130		L260519-33130	HSD 25/05/2026	 		No	
33130		L260521-33130	HSD 28/05/2026	 		No	
33130		L260523-33130	HSD 30/05/2026	 		No	
33130		L260525-33130	HSD 01/06/2026	 		No	
33130		L260527-33130	HSD 02/06/2026	 		No	
33130		L260529-33130	HSD 05/06/2026	 		No	
33130		L260531-33130	HSD 06/06/2026	 		No	
33130		L260604-33130	HSD 12/06/2026	 		No	
33130		L260606-33130	HSD 14/06/2026	 		No	
33130		L260610-33130	HSD 16/06/2026	 		No	
33130		L260612-33130	HSD 19/06/2026	 		No	
33130		L260616-33130	HSD 24/06/2026	 		No	
33130		L260618-33130	HSD 24/06/2026	 		No	
33130		L260622-33130	HSD 28/06/2026	 		No	
33130		L260624-33130	HSD 02/07/2026	 		No	
